name,url,ts_ignore,any,specific_types,qty_js_files,qty_ts_files,TLOC,JS_LOC,tsconfig_path,strict,strictNullChecks,strictBindCallApply,strictFunctionTypes,strictPropertyInitialization,noImplicitAny,noImplicitThis,alwaysStrict,releases,age,created_at,prev_year_commit,prev_year_ts_ignore,prev_year_any,prev_year_specific_types,prev_year_TLOC,prev_year_JS_LOC,prev_year_tsconfig_path,prev_year_strict,prev_year_strictNullChecks,prev_year_strictBindCallApply,prev_year_strictFunctionTypes,prev_year_strictPropertyInitialization,prev_year_noImplicitAny,prev_year_noImplicitThis,prev_year_alwaysStrict
vue,https://github.com/vuejs/vue,13,478,2293,72,508,34030,1894,repos\vue\tsconfig.json,1,1,1,1,1,0,0,1,249,11,2013-07-29T03:24:51Z,223a9e9f2ecf013e6ee5dbf98cbaa8cadf9daf50,13,476,2273,33902,1894,repos\vue\tsconfig.json,1,1,1,1,1,0,0,1
ant-design,https://github.com/ant-design/ant-design,17,277,4783,14,1272,154980,770,repos\ant-design\tsconfig.json,1,1,1,1,1,1,1,1,675,9,2015-04-24T15:37:24Z,8dc11ee7f3828a9bbf92c6fbd56c2bec1582e2b7,8,256,4322,139157,872,repos\ant-design\tsconfig.json,0,1,0,0,0,1,0,0
puppeteer,https://github.com/puppeteer/puppeteer,0,40,2445,106,468,53319,2243,repos\puppeteer\tsconfig.base.json,1,1,1,1,1,1,1,1,459,7,2017-05-09T22:16:13Z,f7cf05ce4a6795ba9e0d1edf95e75aa74639d0ea,0,48,2181,49403,2676,repos\puppeteer\tsconfig.base.json,1,1,1,1,1,1,1,1
angular,https://github.com/angular/angular,56,7638,33380,1690,10076,844754,61455,repos\angular\packages\tsconfig.json,1,1,1,1,1,1,1,1,374,10,2014-09-18T16:12:01Z,9cac4eea5b692dd55e43ebcf8237d78777b0deb0,3,7599,30677,719776,47908,repos\angular\packages\tsconfig.json,1,1,1,1,1,1,1,1
vscode,https://github.com/microsoft/vscode,20,3453,107587,498,8612,1428220,57127,repos\vscode\src\tsconfig.json,0,0,0,0,0,0,0,0,146,9,2015-09-03T20:23:38Z,7cf8a165f6832dc597df9670086b24b726519715,39,3222,91840,1091008,59474,repos\vscode\src\tsconfig.json,0,0,0,0,0,0,0,0
excalidraw,https://github.com/excalidraw/excalidraw,21,245,3355,56,440,100770,3237,repos\excalidraw\tsconfig.json,1,1,1,1,1,1,1,1,13,4,2020-01-02T01:04:43Z,3c96943db3b1bf73726f2a04e55f7c79f74dd6db,17,203,2553,66606,2650,repos\excalidraw\tsconfig.json,1,1,1,1,1,1,1,1
tailwindcss,https://github.com/tailwindlabs/tailwindcss,0,44,1087,12,254,24338,24,repos\tailwindcss\packages\tsconfig.base.json,1,1,1,1,1,1,1,1,241,7,2017-10-06T14:59:14Z,817c466c1e9dd530026df7e905090d50adf37974,17,11,219,18211,16347,not_found,0,0,0,0,0,0,0,0
realworld,https://github.com/gothinkster/realworld,0,16,46,0,88,1463,0,not_found,0,0,0,0,0,0,0,0,0,8,2016-02-26T20:49:53Z,eb437b6cf7d030dbc13c8064ddbcbb1a55043b87,3,23,338,10746,330,repos\realworld\tsconfig.base.json,0,0,0,0,0,0,0,0
ChatGPT-Next-Web,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,52,222,1052,4,206,34804,99,repos\ChatGPT-Next-Web\tsconfig.json,1,1,1,1,1,1,1,1,74,1,2023-03-10T18:27:54Z,d0a1d910d4dae62351ae0273562cc6067e3e6ed9,2,84,501,14972,34,repos\ChatGPT-Next-Web\tsconfig.json,1,1,1,1,1,1,1,1
ui,https://github.com/shadcn-ui/ui,2,10,1163,92,330,172905,1335,repos\ui\tsconfig.json,1,1,1,1,1,1,1,1,31,1,2023-01-04T12:43:27Z,d250109cc4d06a5160512f341a8637a746fcfa80,1,0,321,37030,451,repos\ui\tsconfig.json,1,1,1,1,1,1,1,1
mermaid,https://github.com/mermaid-js/mermaid,76,212,2436,170,584,55957,20551,not_found,0,0,0,0,0,0,0,0,139,10,2014-11-01T23:52:32Z,fadae38bec28715ff65af9edb2f44711afdc92d5,46,87,1478,39899,23952,not_found,0,0,0,0,0,0,0,0
storybook,https://github.com/storybookjs/storybook,43,1300,6202,646,3128,255310,71510,repos\storybook\code\tsconfig.json,1,1,1,1,1,1,1,1,1000,8,2016-03-18T04:23:44Z,f5b7a043757d6302d882f3412a0ce604bfedc950,18,1101,5074,219996,72907,repos\storybook\code\tsconfig.json,1,1,1,1,1,1,1,1
code-server,https://github.com/coder/code-server,0,31,426,2,96,6354,12,repos\code-server\tsconfig.json,1,1,1,1,1,1,1,1,166,5,2019-02-27T16:50:41Z,11e6e656c0a0261bba4c1cf9cda6552c60e98f5f,0,29,420,6309,9,repos\code-server\tsconfig.json,1,1,1,1,1,1,1,1
vite,https://github.com/vitejs/vite,7,182,3230,1394,640,56879,9020,not_found,0,0,0,0,0,0,0,0,488,4,2020-04-21T05:03:57Z,7c240a0d25bcba043fbf97bf0382b2da4f012aa0,1,152,2599,44172,7065,not_found,0,0,0,0,0,0,0,0
nest,https://github.com/nestjs/nest,0,866,3471,28,2442,50502,1106,repos\nest\tsconfig.json,0,0,0,0,0,0,0,0,99,7,2017-02-04T20:12:52Z,cc15ba727c564d53cbbd84ae24d386d25610481e,0,852,3428,49925,1106,repos\nest\tsconfig.json,0,0,0,0,0,0,0,0
