request_number,response_time,response_size,language,first
1,0.9511232376098633,3528,Ruby,14
2,1.832503080368042,23330,Python,34
3,1.2769160270690918,6947,Java,22
4,0.964076042175293,4084,Kotlin,16
5,2.22874116897583,12867,C++,46
6,1.5437519550323486,1898,C++,7
7,1.2245311737060547,6953,Ruby,27
8,1.7929883003234863,14633,Java,48
9,1.5996010303497314,11215,Go,41
10,1.2937688827514648,9759,Swift,39
11,1.1694941520690918,3184,C++,12
12,1.9899890422821045,10464,C++,37
13,1.3763151168823242,5354,Ruby,21
14,0.904066801071167,2637,Ruby,10
15,1.3358509540557861,5079,Python,19
16,2.3348658084869385,11237,JavaScript,42
17,1.2205350399017334,6671,Java,21
18,1.7158358097076416,11012,Go,40
19,1.7891838550567627,9604,Ruby,37
20,1.875715970993042,24627,Python,38
21,2.0584161281585693,12885,JavaScript,48
22,1.1884889602661133,2177,Python,8
23,1.540489912033081,8324,Ruby,32
24,1.4205131530761719,5543,C++,21
25,2.0911097526550293,14085,C++,50
26,1.0540530681610107,5254,Go,20
27,2.5126469135284424,12528,Ruby,48
28,1.6238341331481934,25639,Python,42
29,1.4955480098724365,11119,Kotlin,40
30,1.7218670845031738,7471,JavaScript,29
31,1.2732772827148438,4101,Java,13
32,1.5827481746673584,6180,JavaScript,24
33,0.7627921104431152,800,Ruby,3
34,1.035093069076538,3280,Java,10
35,2.0156900882720947,8280,JavaScript,32
36,0.6719191074371338,1548,Swift,6
37,1.4785480499267578,7607,C++,27
38,1.3042259216308594,7817,Kotlin,29
39,1.3434031009674072,1307,JavaScript,5
40,1.2439172267913818,5354,Ruby,21
41,1.3025028705596924,4327,C++,16
42,1.0953710079193115,4827,Ruby,19
43,0.5846660137176514,800,Ruby,3
44,1.728132724761963,11189,Java,37
45,1.6828851699829102,13352,Kotlin,49
46,0.7581489086151123,1922,Go,7
47,0.8469440937042236,2388,Ruby,9
48,1.705003023147583,25639,Python,42
49,1.1691112518310547,6487,Swift,26
50,1.3788831233978271,7153,Go,26
51,1.5247809886932373,9371,Ruby,36
52,1.5341088771820068,23330,Python,34
53,2.195594072341919,26827,Python,47
54,0.9870002269744873,4084,Kotlin,16
55,1.048408031463623,585,JavaScript,2
56,1.195641040802002,12123,Kotlin,44
57,1.0825831890106201,6869,Kotlin,25
58,1.3399150371551514,5354,Ruby,21
59,1.889451026916504,10160,Ruby,39
60,1.3729228973388672,13151,Kotlin,48
61,1.5382330417633057,3533,JavaScript,14
62,1.380443811416626,11012,Go,40
63,1.0817370414733887,909,JavaScript,3
64,1.3925211429595947,7109,C++,25
65,0.9472548961639404,3702,Go,14
66,1.1395001411437988,6040,Swift,24
67,1.3262629508972168,10283,Swift,41
68,1.3772671222686768,8107,Go,29
69,0.9822180271148682,4511,Swift,18
70,2.317138195037842,10868,Ruby,42
71,1.4207379817962646,20379,Python,24
72,1.1912131309509277,2313,JavaScript,9
73,1.1689159870147705,3737,Ruby,15
74,1.8928098678588867,10465,Go,38
75,1.9222910404205322,12867,C++,46
76,1.0348289012908936,2177,Python,8
77,1.5622520446777344,5726,JavaScript,22
78,0.9616539478302002,2476,Go,9
79,1.5067470073699951,5354,Ruby,21
80,1.4971811771392822,12123,Kotlin,44
81,1.6636688709259033,15196,Java,50
82,1.6809682846069336,10465,Go,38
83,0.5911540985107422,800,Ruby,3
84,0.8063418865203857,3490,Swift,14
85,0.7781481742858887,2476,Go,9
86,1.71551513671875,9939,C++,35
87,1.5470831394195557,4293,JavaScript,17
88,1.3321969509124756,8664,Java,28
89,1.2094600200653076,2313,JavaScript,9
90,1.581923007965088,21232,Python,27
91,1.9937846660614014,23588,Python,35
92,1.8871338367462158,13270,Java,43
93,1.2714622020721436,7153,Go,26
94,0.5595550537109375,527,Ruby,2
95,1.578552007675171,6928,JavaScript,27
96,1.5869920253753662,5726,JavaScript,22
97,1.1657462120056152,3229,Swift,13
98,0.968756914138794,2177,Python,8
99,1.711967945098877,10097,JavaScript,38
100,0.831916093826294,2331,Java,6
101,1.1683349609375,2655,C++,10
102,1.7172048091888428,14922,Java,49
103,1.3246469497680664,7618,Java,24
104,1.7996890544891357,24121,Python,36
105,1.1691551208496094,3018,Python,11
106,2.705831289291382,9565,Kotlin,34
107,1.4767470359802246,10134,Go,37
108,1.0694260597229004,4084,Kotlin,16
109,0.9593710899353027,3945,Go,15
110,1.7910268306732178,8850,Go,32
111,1.4737868309020996,9371,Ruby,36
112,0.6524927616119385,684,Swift,3
113,0.8574950695037842,1459,Kotlin,6
114,2.26088285446167,12215,Ruby,47
115,2.4754831790924072,13102,JavaScript,49
116,1.427321195602417,5895,Ruby,23
117,0.9662899971008301,4968,Swift,20
118,0.8501219749450684,2727,Go,10
119,1.7889220714569092,20995,Python,26
120,1.4707310199737549,4386,Python,16
121,1.0645859241485596,6272,Go,23
122,1.6785888671875,10901,Java,36
123,1.2882599830627441,5827,Java,18
124,2.087238073348999,12058,JavaScript,45
125,0.9457600116729736,301,JavaScript,1
126,1.2683079242706299,5254,Go,20
127,1.2736928462982178,4482,Ruby,18
128,0.8603320121765137,1911,Ruby,7
129,1.585165023803711,10689,Swift,43
130,1.3104519844055176,10465,Go,38
131,2.1526222229003906,10464,C++,37
132,0.8360257148742676,1001,Java,3
133,2.099803924560547,13893,Go,49
134,1.2706718444824219,4620,Java,15
135,0.6710200309753418,246,Ruby,1
136,1.5584027767181396,11215,Go,41
137,1.4536142349243164,7109,C++,25
138,0.888742208480835,2727,Go,10
139,0.9606132507324219,568,C++,2
140,2.092590093612671,11823,JavaScript,44
141,1.3717758655548096,4808,C++,18
142,0.8614637851715088,3105,Kotlin,12
143,0.9613656997680664,1001,Java,3
144,0.6540708541870117,1841,Swift,7
145,1.3530457019805908,3829,Python,14
146,1.6425468921661377,24121,Python,36
147,0.8902149200439453,503,Python,2
148,0.7744028568267822,938,Swift,4
149,1.2758641242980957,5298,Java,16
150,1.3740348815917969,10937,Kotlin,39
151,2.3991317749023438,10333,JavaScript,39
152,1.6788089275360107,7879,Java,25
153,0.9330151081085205,225,Python,1
154,1.7573871612548828,5726,JavaScript,22
