request_number,response_time,response_size,language,per_page
1,0.23030805587768555,95,Ruby,32
2,0.27333498001098633,95,Kotlin,33
3,0.22919082641601562,95,C++,11
4,0.22161602973937988,95,Swift,62
5,0.2291872501373291,95,JavaScript,2
6,0.21867799758911133,95,JavaScript,27
7,0.22251319885253906,95,Ruby,73
8,0.23111319541931152,95,Swift,88
9,0.2568349838256836,95,Go,12
10,0.21893978118896484,95,Ruby,26
11,0.22861599922180176,95,C++,60
12,0.21736383438110352,95,Java,20
13,0.22553586959838867,95,Kotlin,22
14,0.22062182426452637,95,C++,20
15,0.2229471206665039,95,Swift,32
16,0.2507760524749756,95,Python,47
17,0.22466087341308594,95,JavaScript,80
18,0.2638888359069824,95,C++,34
19,0.25630879402160645,95,Go,100
20,1.5620710849761963,95,JavaScript,51
21,0.2217240333557129,95,C++,70
22,0.24301505088806152,95,Java,74
23,0.21939420700073242,95,Go,93
24,0.543281078338623,95,Java,33
25,0.24290895462036133,95,Swift,17
26,1.2270598411560059,95,Ruby,79
27,0.21918177604675293,95,Python,27
28,1.260246992111206,95,Kotlin,50
29,0.22555899620056152,95,Ruby,33
30,0.26565003395080566,95,C++,95
31,0.22646284103393555,95,C++,78
32,0.30241823196411133,95,JavaScript,32
33,0.23026108741760254,95,Go,84
34,0.21661019325256348,95,Ruby,35
35,0.23329901695251465,95,JavaScript,85
36,0.2155158519744873,95,Swift,42
37,0.23388195037841797,95,Ruby,26
38,0.22010111808776855,95,Java,12
39,0.23450303077697754,95,Ruby,9
40,0.22701025009155273,95,Go,42
41,0.21386504173278809,95,Go,75
42,0.22233128547668457,95,Ruby,43
43,0.25077319145202637,95,Ruby,81
44,0.22477078437805176,95,Kotlin,71
45,0.2176649570465088,95,Swift,39
46,0.22453618049621582,95,Java,40
47,0.24605083465576172,95,JavaScript,48
48,1.2484407424926758,95,Swift,52
49,0.28812479972839355,95,JavaScript,11
50,0.22769904136657715,95,Ruby,31
51,0.22344684600830078,95,Ruby,18
52,0.27557969093322754,95,C++,46
53,0.22891020774841309,95,JavaScript,72
54,0.2386929988861084,95,Java,95
55,0.2202131748199463,95,JavaScript,68
56,0.25943994522094727,95,Go,25
57,0.21336102485656738,95,Python,87
58,0.21838021278381348,95,Python,90
59,0.23212909698486328,95,Java,21
60,0.21729493141174316,95,Ruby,21
61,0.24953508377075195,95,Python,1
62,0.2160937786102295,95,Go,7
63,0.27681803703308105,95,Ruby,27
64,0.21688580513000488,95,Java,34
65,0.2333235740661621,95,C++,21
66,0.23762202262878418,95,Java,17
67,0.22069001197814941,95,Java,16
68,0.2212848663330078,95,JavaScript,61
69,0.21658802032470703,95,JavaScript,73
70,0.24323463439941406,95,Ruby,46
71,0.22358298301696777,95,Kotlin,83
72,0.2815570831298828,95,Java,71
73,0.22554492950439453,95,Java,32
74,0.35063815116882324,95,Java,82
75,0.21675610542297363,95,Swift,45
76,0.221451997756958,95,Kotlin,18
77,0.22224926948547363,95,C++,31
78,0.22081518173217773,95,C++,58
79,0.2639200687408447,95,Kotlin,23
80,0.22339987754821777,95,Swift,10
81,0.28388381004333496,95,JavaScript,78
82,0.2163851261138916,95,C++,96
83,0.5961241722106934,95,JavaScript,76
84,0.2161111831665039,95,Swift,93
85,0.2548940181732178,95,C++,88
86,0.2189939022064209,95,Python,78
87,0.21438074111938477,95,JavaScript,93
88,0.2331840991973877,95,Python,72
89,0.22795915603637695,95,Swift,21
90,0.21390104293823242,95,JavaScript,1
91,0.2180769443511963,95,Swift,4
92,0.2508101463317871,95,Go,59
93,0.3537607192993164,95,JavaScript,33
94,0.29148197174072266,95,JavaScript,70
95,0.23231101036071777,95,Kotlin,64
96,0.22492098808288574,95,C++,70
97,0.25196123123168945,95,Kotlin,13
98,0.22596216201782227,95,Go,77
99,0.23055005073547363,95,Java,10
100,0.2114708423614502,95,JavaScript,26
101,0.23323798179626465,95,Swift,91
102,0.21742606163024902,95,Kotlin,36
103,0.2682521343231201,95,C++,21
104,0.21427106857299805,95,Java,42
105,0.24325013160705566,95,Java,69
106,0.21908998489379883,95,C++,52
107,0.23387885093688965,95,Python,93
108,0.21272873878479004,95,Python,55
109,0.22566604614257812,95,Go,74
110,0.2103281021118164,95,C++,94
111,0.22861695289611816,95,Ruby,73
112,0.23865699768066406,95,Kotlin,17
113,0.22429585456848145,95,Swift,67
114,0.5867860317230225,95,Swift,32
115,0.23717379570007324,95,Swift,77
116,0.21916890144348145,95,Swift,45
117,0.23649096488952637,95,Swift,5
118,0.2176830768585205,95,Kotlin,10
119,0.24387884140014648,95,Java,41
120,0.21049785614013672,95,C++,100
121,0.2188258171081543,95,Python,15
122,0.21690964698791504,95,Swift,51
123,0.22332406044006348,95,Python,76
124,0.23626184463500977,95,C++,32
125,0.2173318862915039,95,Swift,75
126,0.2271270751953125,95,Go,83
127,0.2306499481201172,95,Python,92
128,0.2652270793914795,95,Kotlin,78
129,0.2148740291595459,95,Python,65
130,0.2556619644165039,95,Swift,17
131,0.2163388729095459,95,Java,53
132,0.23279714584350586,95,Go,8
133,0.21760296821594238,95,Swift,80
134,0.2094581127166748,95,Kotlin,41
135,0.22623896598815918,95,Go,85
136,0.21838998794555664,95,C++,52
137,0.2590031623840332,95,Python,97
138,0.2271130084991455,95,Swift,80
139,0.2197561264038086,95,Swift,43
140,0.21774911880493164,95,Ruby,99
141,0.2227780818939209,95,Ruby,86
142,0.22727227210998535,95,Swift,53
143,0.25039196014404297,95,Python,47
144,0.2172551155090332,95,Python,61
145,0.20970392227172852,95,Kotlin,59
146,0.2270967960357666,95,Go,96
147,0.24281716346740723,95,Swift,14
148,0.252795934677124,95,Go,39
149,0.22086596488952637,95,Kotlin,29
150,0.24418997764587402,95,JavaScript,40
151,0.21726417541503906,95,Swift,51
152,0.21595406532287598,95,Java,88
153,0.34069108963012695,95,Go,62
154,0.2140190601348877,95,C++,1
155,0.24056601524353027,95,JavaScript,46
156,0.2169039249420166,95,Swift,18
157,0.2766718864440918,95,Swift,36
158,0.2317371368408203,95,C++,54
159,0.8010790348052979,95,Kotlin,82
160,0.2279219627380371,95,Python,6
161,0.3139488697052002,95,Swift,78
162,0.22640395164489746,95,Java,87
163,0.2329421043395996,95,Go,86
164,0.251723051071167,95,Kotlin,20
165,0.21570992469787598,95,Go,70
166,0.22133803367614746,95,JavaScript,65
167,0.22431087493896484,95,Java,60
168,0.21944022178649902,95,Go,46
169,0.2604401111602783,95,Python,54
170,0.230942964553833,95,C++,97
171,0.21761488914489746,95,Go,46
172,0.28441500663757324,95,Kotlin,87
173,0.22342395782470703,95,Java,47
174,0.22056913375854492,95,Kotlin,42
175,0.2154088020324707,95,Kotlin,14
176,0.20663905143737793,95,JavaScript,99
177,0.2214047908782959,95,Kotlin,99
178,0.22725796699523926,95,Java,60
179,0.2508871555328369,95,Go,62
180,0.2221660614013672,95,Python,20
181,0.24001693725585938,95,Kotlin,64
182,0.25077080726623535,95,Python,98
183,0.22374415397644043,95,Java,68
184,0.23355603218078613,95,C++,68
185,0.22578787803649902,95,C++,47
186,0.22081613540649414,95,Java,25
187,0.21780610084533691,95,Kotlin,45
188,0.23717308044433594,95,C++,30
189,0.25028300285339355,95,Kotlin,22
190,0.2794680595397949,95,Swift,96
191,0.21973204612731934,95,Go,85
192,0.2285928726196289,95,C++,38
193,0.22707581520080566,95,Swift,4
194,0.2227938175201416,95,Ruby,95
195,0.21358799934387207,95,Kotlin,77
196,0.22166705131530762,95,Python,48
197,0.22626399993896484,95,Ruby,46
198,0.2199718952178955,95,Swift,93
199,1.2407891750335693,95,Java,54
200,0.21267986297607422,95,Java,86
201,0.2771790027618408,95,Java,62
202,0.2149062156677246,95,Ruby,2
203,0.2827599048614502,95,Ruby,52
204,0.22804665565490723,95,Ruby,6
205,0.23403310775756836,95,Kotlin,10
206,0.2096099853515625,95,Swift,19
207,0.22266411781311035,95,Python,42
208,0.21246004104614258,95,Python,25
209,0.21842408180236816,95,Swift,30
210,0.23623204231262207,95,Go,36
211,0.22530102729797363,95,JavaScript,95
212,0.3094940185546875,95,C++,55
213,0.22385621070861816,95,Java,31
214,0.21525001525878906,95,Ruby,78
215,0.2150871753692627,95,Ruby,30
216,0.22298002243041992,95,Swift,83
